pf, 40400000, 40924312, 213222160, 68157440
alexnet_host, 249514284, 250038812, 448475729, 374225408
hotspot3D, 25165824, 25690136, 196083712, 25165824
CN_cuda, 16253440584, 16253965000, 18452892817, 22951232128
jacobi, 800000000, 800524304, 1067772160, 1073741824
naive, 48000, 572336, 167826160, 49152
sradv1, 7364992, 7889376, 176057776, 8396800
jacobi1d, 32768, 557072, 167809024, 32768
backprop, 7600140, 8124460, 176322316, 9437312
cov, 3355525120, 3356049432, 3942737920, 4295098368
mvt, 6711541760, 6712066088, 7718256640, 8590983168
llama3, 30803988780, 30804524484, 34822259214, 33966493996
llama, 31251532800, 31252057176, 35325746560, 38655557632
b+tree, 37094864, 37619272, 209503882, 38535168
atax, 6711377920, 6711902240, 7718072320, 8590721024
gs, 805306368, 805830680, 1073741824, 805306368
sradv2, 100663296, 101187632, 281018368, 100663296
fdtd, 5033168800, 5033693120, 5830087060, 6442455040
resnet_host, 64272032, 64796816, 240078196, 81880064
3mm, 469762048, 470286392, 696254464, 469762048
hotspot, 3145728, 3670040, 171311104, 3145728
corr, 3355607040, 3356131360, 3942830080, 4295229440
adi, 12582912, 13107224, 181927936, 12582912
doitgen, 16783769600, 16784293912, 19049512960, 17188257792
gaussian, 8392704, 8917016, 177213952, 8392704
2dconv, 13421772800, 13422297104, 15267266560, 17179869184
gru_host, 122804, 647180, 167910314, 200196
gessummv, 13422264320, 13422788648, 15267819520, 17180655616
lavaMD, 7856000000, 7856524320, 9005772160, 10737418240
float, 516392, 1040784, 168353101, 865280
2mm, 335544320, 336068648, 545259520, 335544320
gemm, 20132659200, 20133183512, 22817013760, 25769803776
bfs, 2555905, 3080249, 170647553, 3080193
nn, 804519936, 805044240, 1072857088, 805306368
lud, 1677721600, 1678245896, 2055208960, 2147483648
dwt2d, 32505856, 33030208, 204341248, 33554432
lstm, 3272240000, 3272764408, 3849042160, 4370857984
heartwall, 43350996, 43880268, 216541723, 73974272
bicg, 6711541760, 6712066088, 7718256640, 8590983168
3dconv, 13421772800, 13422297104, 15267266560, 17179869184
needle, 33587208, 34111512, 205557768, 67108864

